********************************************************************************
Log File of Assignment21_3
this log is created at : Fri Jun 20 23:27:31 2025
********************************************************************************
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 10468, 'name': 'svchost.exe', 'username': None}
{'pid': 10504, 'name': 'svchost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10544, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10636, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10784, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10888, 'name': 'taskhostw.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11024, 'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11052, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11104, 'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11280, 'name': 'qhpisvr.exe', 'username': None}
{'pid': 11308, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11528, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11704, 'name': 'conhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11784, 'name': 'RAVBg64.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 11788, 'name': 'svchost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12112, 'name': 'svchost.exe', 'username': None}
{'pid': 12388, 'name': 'conhost.exe', 'username': None}
{'pid': 12408, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12456, 'name': 'TextInputHost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12560, 'name': 'CompPkgSrv.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12616, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12740, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12876, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 12888, 'name': 'taskhostw.exe', 'username': None}
{'pid': 13080, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 13100, 'name': 'powershell.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 13104, 'name': 'TabTip.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 13180, 'name': 'powershell.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 13244, 'name': 'RAVBg64.exe', 'username': None}
{'pid': 13756, 'name': 'bdssvc.exe', 'username': None}
{'pid': 13784, 'name': 'conhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 13800, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 13948, 'name': 'powershell.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 14144, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 14160, 'name': 'svchost.exe', 'username': None}
{'pid': 14364, 'name': 'wssrvc.exe', 'username': None}
{'pid': 14384, 'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 14400, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 14424, 'name': 'igfxHK.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 15124, 'name': 'SynTPHelper.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 15160, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 15184, 'name': 'svchost.exe', 'username': None}
{'pid': 15568, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 15580, 'name': 'notepad.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 15620, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 15788, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 16096, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 16144, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 16292, 'name': 'onlinent.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
********************************************************************************
